site_id,lat,lon,is_existing,got_tower,got_wisp,tower_year,wisp_year
639,13.317,-87.216,1,0,0,0,0
641,13.321,-87.214,1,0,0,0,0
645,13.323,-87.213,1,0,0,0,0
647,13.323,-87.213,1,0,0,0,0
661,13.325,-87.218,1,0,0,0,0
662,13.325,-87.218,1,0,0,0,0
663,13.31,-87.19,1,0,0,0,0
665,13.31,-87.195,1,0,0,0,0
674,13.313,-87.204,1,0,0,0,0
680,13.315,-87.19,1,0,0,0,0
683,13.317,-87.192,1,0,0,0,0
684,13.317,-87.202,1,0,0,0,0
685,13.317,-87.203,1,0,0,0,0
686,13.318,-87.192,1,0,0,0,0
688,13.32,-87.201,1,0,0,0,0
690,13.31,-87.179,1,0,0,0,0
693,13.31,-87.183,1,0,0,0,0
694,13.31,-87.185,1,0,0,0,0
697,13.31,-87.179,1,0,0,0,0
704,13.311,-87.183,1,0,0,0,0
714,13.311,-87.182,1,0,0,0,0
715,13.311,-87.182,1,0,0,0,0
720,13.311,-87.185,1,0,0,0,0
739,13.313,-87.178,1,0,0,0,0
791,13.312,-87.15,1,0,0,0,0
795,13.314,-87.155,1,0,0,0,0
807,13.319,-87.158,1,0,0,0,0
834,13.323,-87.15,1,0,0,0,0
841,13.312,-87.138,1,0,0,0,0
842,13.312,-87.138,1,0,0,0,0
847,13.322,-87.128,1,0,0,0,0
848,13.323,-86.909,1,0,0,0,0
853,13.334,-87.321,1,0,0,0,0
854,13.331,-87.297,1,0,0,0,0
855,13.332,-87.298,1,0,0,0,0
856,13.333,-87.308,1,0,0,0,0
857,13.333,-87.303,1,0,0,0,0
858,13.329,-87.283,1,0,0,0,0
859,13.331,-87.273,1,0,0,0,0
860,13.332,-87.254,1,0,0,0,0
861,13.335,-87.258,1,0,0,0,0
862,13.329,-87.246,1,0,0,0,0
864,13.334,-87.239,1,0,0,0,0
869,13.335,-87.238,1,0,0,0,0
870,13.336,-87.238,1,0,0,0,0
871,13.336,-87.239,1,0,0,0,0
872,13.336,-87.238,1,0,0,0,0
873,13.337,-87.242,1,0,0,0,0
874,13.337,-87.243,1,0,0,0,0
878,13.339,-87.244,1,0,0,0,0
883,13.327,-87.223,1,0,0,0,0
884,13.327,-87.223,1,0,0,0,0
886,13.328,-87.224,1,0,0,0,0
887,13.328,-87.224,1,0,0,0,0
