site_id,lat,lon,is_existing,got_tower,got_wisp,tower_year,wisp_year
1233,15.524,-86.229,1,0,0,0,0
1236,15.524,-86.229,1,0,0,0,0
1241,15.527,-86.221,1,0,0,0,0
1242,15.528,-86.22,1,0,0,0,0
1247,15.529,-86.217,1,0,0,0,0
1248,15.53,-86.22,1,0,1,0,5
1249,15.534,-86.212,1,0,0,0,0
1250,15.539,-86.205,1,0,0,0,0
1251,15.54,-86.204,1,0,1,0,5
1252,15.543,-86.241,1,0,0,0,0
1253,15.543,-86.243,1,0,0,0,0
1254,15.545,-86.249,1,0,1,0,5
1260,15.55,-86.187,1,0,0,0,0
1261,15.552,-86.183,1,0,0,0,0
1262,15.556,-86.178,1,0,1,0,5
1263,15.564,-86.187,1,0,0,0,0
1264,15.56,-86.171,1,0,0,0,0
1265,15.563,-86.165,1,0,0,0,0
1267,15.566,-86.162,1,0,0,0,0
1268,15.566,-86.161,1,0,1,0,5
1269,15.576,-86.233,1,0,0,0,0
1270,15.576,-86.21,1,0,0,0,0
1271,15.575,-86.164,1,0,0,0,0
1272,15.572,-86.151,1,0,0,0,0
1273,15.577,-86.142,1,0,0,0,0
1274,15.581,-86.136,1,0,0,0,0
1275,15.581,-86.135,1,0,1,0,5
1276,15.582,-86.135,1,0,0,0,0
1282,15.596,-86.216,1,0,1,0,5
1283,15.586,-86.128,1,0,0,0,0
1284,15.589,-86.123,1,0,0,0,0
1285,15.592,-86.117,1,0,1,0,5
1287,15.593,-86.114,1,0,0,0,0
1288,15.594,-86.113,1,0,0,0,0
1289,15.597,-86.107,1,0,0,0,0
1290,15.598,-86.108,1,0,1,0,3
1291,15.596,-86.09,1,0,0,0,0
1292,15.59,-86.077,1,0,1,0,5
1293,15.596,-86.077,1,0,0,0,0
1294,15.598,-85.856,1,0,1,0,5
1295,15.598,-85.856,1,0,0,0,0
1296,15.596,-85.711,1,0,1,0,5
1297,15.6,-85.715,1,0,0,0,0
1299,15.605,-86.185,1,0,0,0,0
1302,15.603,-86.095,1,0,0,0,0
1304,15.608,-86.087,1,0,0,0,0
1307,15.613,-86.08,1,0,1,0,5
1309,15.613,-86.081,1,0,0,0,0
1310,15.614,-86.076,1,0,1,0,5
1311,15.615,-86.076,1,0,0,0,0
1312,15.614,-86.037,1,0,1,0,5
1313,15.614,-86.037,1,0,0,0,0
1314,15.614,-86.037,1,0,0,0,0
